Name,AvgCyclomaticModified,AvgCyclomatic,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
AssociativeInfixExpressionFragment.java,1,1,2,1,9,0,7,0,37,21,4,37,0,19,1,17,462,80,326,114,202,57,177,248,114,134,8,8,8,0.17,71,71,90,53
AstMatchingNodeFinder.java,1,1,1,1,4,0,4,0,88,87,3,88,2,2,0,84,718,94,614,267,258,10,268,441,184,257,2,2,2,0.02,171,171,171,88
BasicCompilationUnitEditorActionContributor.java,2,2,2,1,14,2,12,1,8,8,8,8,0,0,0,8,203,37,136,55,71,38,98,118,54,64,6,6,6,0.28,19,19,19,8
BasicElementLabels.java,1,1,1,1,3,0,3,0,7,1,0,7,0,2,0,5,97,12,31,13,10,59,13,22,13,9,2,2,2,1.9,8,8,8,7
BasicElementLabels.java,1,1,1,1,3,0,3,0,11,0,0,11,0,0,0,11,165,25,53,25,18,90,26,39,25,14,2,2,2,1.7,12,12,12,11
BasicElementLabels.java,1,1,1,1,3,0,3,0,10,1,0,10,0,2,0,8,132,17,41,17,13,82,17,29,17,12,2,2,2,2,11,11,11,10
BasicElementLabels.java,1,1,1,1,3,0,3,0,8,1,0,8,0,2,0,6,112,14,35,15,12,69,15,25,15,10,2,2,2,1.97,9,9,9,8
BasicJavaEditorActionContributor.java,2,2,2,1,25,5,19,3,6,6,16,6,0,0,1,5,244,52,165,65,103,47,135,150,61,89,4,4,4,0.28,14,14,14,6
BasicSelectionTransferDragAdapter.java,1,1,1,1,4,0,3,0,6,6,1,6,0,0,1,5,85,14,38,21,11,33,21,28,18,10,1,1,1,0.87,6,6,6,6
BestMatchHover.java,3,3,3,2,12,1,10,0,10,9,3,10,0,3,0,7,210,36,124,42,71,51,74,103,43,60,7,7,10,0.41,31,31,35,25
BinaryRefactoringHistoryWizard.java,3,3,4,1,17,0,16,0,26,22,7,26,0,6,18,2,738,53,503,166,324,185,269,379,170,209,10,10,11,0.37,98,98,109,43
Binding.java,4,5,5,2,22,1,20,5,17,12,4,17,0,2,0,15,473,60,373,86,294,140,263,341,88,253,35,30,36,0.38,95,80,99,36
BindingLabelProvider.java,5,5,6,2,18,0,18,0,23,5,3,23,0,17,0,6,540,51,441,81,302,55,209,344,84,260,25,25,28,0.12,136,136,153,50
BindingProperty.java,2,2,2,1,7,0,7,0,15,15,4,15,0,1,0,14,173,23,116,25,68,43,58,89,26,63,9,9,10,0.37,32,32,34,23
Bindings.java,4,4,5,3,15,0,14,1,65,1,0,65,1,13,0,51,1475,135,959,226,676,431,522,802,257,545,17,15,19,0.45,304,280,341,257
